Телекомпания;Баинговая аудитория
ПЕРВЫЙ КАНАЛ;BA All 14-59
РОССИЯ 1;BA All 18+
НТВ;BA All 18+
ТНТ;BA All 14-44
СТС;BA All 10-45
ПЯТЫЙ КАНАЛ;BA All 25-59
РЕН ТВ;BA All 25-54
ДОМАШНИЙ;BA W 25-59
ТВ-3;BA All 14-44
ПЯТНИЦА;BA All 14-44
ЧЕ;BA All 25-49
Ю;BA W 14-44
ТВ ЦЕНТР;BA All 18+
КАРУСЕЛЬ;BA All 4-45
ЗВЕЗДА;BA All 18+
РОССИЯ 24;BA All 18+
МАТЧ ТВ;BA M 14-59
СОЛНЦЕ;BA All 10-45
СТС LOVE;BA All 11-34
ТНТ 4;BA All 14-44
МУЗ ТВ;BA All 18-44
2X2;BA All 11-34
СУББОТА;BA W 18-45
МИР;BA All 25-59
СПАС;BA All 18+
ЕДИНЫЙ РЕКЛАМНЫЙ КАНАЛ;BA All 25-49
МУЖСКОЙ РЕКЛАМНЫЙ КАНАЛ;BA M 25-49
ЖЕНСКИЙ РЕКЛАМНЫЙ КАНАЛ;BA W 25-49
ДЕТСКИЙ РЕКЛАМНЫЙ КАНАЛ;BA All 4-40
ДОМ КИНО;BA All 25-55
РЕКЛАМНЫЙ КАНАЛ ФЕНИКС;BA All 18-59
МУЛЬТ;BA All 4-45
ЦИФРОВОЙ РЕКЛАМНЫЙ КАНАЛ МУЛЬТ ПЛЮС;BA All 4-45
ЕВРОНОВОСТИ;BA All 18+
РЕКЛАМНЫЙ КАНАЛ 1ТВЧ;BA All 18-59
МОСФИЛЬМ. ЗОЛОТАЯ КОЛЛЕКЦИЯ;BA All 25-49
