Ролик распространение;Телекомпания;Телеканал №;Телеканал
Сетевой;ПЕРВЫЙ КАНАЛ;1;Первый
Сетевой;РОССИЯ 1;2;Россия 1
Сетевой;НТВ;3;НТВ
Сетевой;ТНТ;4;ТНТ
Сетевой;СТС;5;СТС
Сетевой;ПЯТЫЙ КАНАЛ;6;Пятый канал
Сетевой;РЕН ТВ;7;РЕН ТВ
Сетевой;ДОМАШНИЙ;8;Домашний
Сетевой;ТВ-3;9;ТВ-3
Сетевой;ПЯТНИЦА;10;Пятница
Сетевой;ЧЕ;11;Че
Сетевой;Ю;12;Ю
Сетевой;ТВ ЦЕНТР;13;ТВЦ
Сетевой;КАРУСЕЛЬ;14;Карусель
Сетевой;ЗВЕЗДА;15;Звезда
Сетевой;РОССИЯ 24;16;Россия 24
Сетевой;МАТЧ ТВ;17;Матч ТВ
Сетевой;СОЛНЦЕ;18;Солнце
Сетевой;СТС LOVE;19;СТС Love
Сетевой;ТНТ 4;20;ТНТ 4
Сетевой;МУЗ ТВ;21;Муз-ТВ
Сетевой;2X2;22;2х2
Сетевой;СУПЕР;23;Супер
Сетевой;СУББОТА;23;Суббота
Сетевой;МИР;24;МИР
Сетевой;СПАС;25;СПАС
Сетевой;RU.TV;26;RU.TV
Сетевой;RU.TV (ДО 31/12/2020);26;RU.TV
Сетевой;РОССИЯ К;40;Россия К
Орбитальный;ПЕРВЫЙ КАНАЛ;101;Первый - 0
Орбитальный;РОССИЯ 1;102;Россия 1 - 0
Орбитальный;НТВ;103;НТВ - 0
Орбитальный;ТНТ;104;ТНТ - 0
Орбитальный;СТС;105;СТС - 0
Орбитальный;ПЯТЫЙ КАНАЛ;106;Пятый канал - 0
Орбитальный;РЕН ТВ;107;РЕН ТВ - 0
Орбитальный;ДОМАШНИЙ;108;Домашний - 0
Орбитальный;ТВ-3;109;ТВ-3 - 0
Орбитальный;ПЯТНИЦА;110;Пятница - 0
Орбитальный;ЧЕ;111;Че - 0
Орбитальный;Ю;112;Ю - 0
Орбитальный;ТВ ЦЕНТР;113;ТВЦ - 0
Орбитальный;КАРУСЕЛЬ;114;Карусель - 0
Орбитальный;ЗВЕЗДА;115;Звезда - 0
Орбитальный;РОССИЯ 24;116;Россия 24 - 0
Орбитальный;МАТЧ ТВ;117;МАТЧ ТВ - 0
Орбитальный;СОЛНЦЕ;118;Солнце - 0
Орбитальный;СТС LOVE;119;СТС Love - 0
Орбитальный;ТНТ 4;120;ТНТ 4 - 0
Орбитальный;МУЗ ТВ;121;Муз-ТВ - 0
Орбитальный;2X2;122;2X2 - 0
Орбитальный;СУПЕР;123;Супер - 0
Орбитальный;СУББОТА;123;Суббота - 0
Сетевой;ЕДИНЫЙ РЕКЛАМНЫЙ КАНАЛ;201;ЕРК
Сетевой;МУЖСКОЙ РЕКЛАМНЫЙ КАНАЛ;203;МРК
Сетевой;ЖЕНСКИЙ РЕКЛАМНЫЙ КАНАЛ;202;ЖРК
Сетевой;ДЕТСКИЙ РЕКЛАМНЫЙ КАНАЛ;204;ДРК
Сетевой;ДОМ КИНО;205;Дом Кино
Сетевой;РЕКЛАМНЫЙ КАНАЛ ФЕНИКС;206;РК Феникс
Сетевой;МУЛЬТ;207;МУЛЬТ
Сетевой;ЦИФРОВОЙ РЕКЛАМНЫЙ КАНАЛ МУЛЬТ ПЛЮС;208;МУЛЬТ ПЛЮС
Сетевой;ЕВРОНОВОСТИ;209;ЕВРОНОВОСТИ
