Дата;Год;Месяц;День недели №;День недели;Номер недели;День тип
01.01.2018;2018;1;1;Понедельник;1;Рабочий
02.01.2018;2018;1;2;Вторник;1;Рабочий
03.01.2018;2018;1;3;Среда;1;Рабочий
04.01.2018;2018;1;4;Четверг;1;Рабочий
05.01.2018;2018;1;5;Пятница;1;Пятница
06.01.2018;2018;1;6;Суббота;1;Выходной_С
07.01.2018;2018;1;7;Воскресенье;1;Выходной_В
08.01.2018;2018;1;1;Понедельник;2;Рабочий
09.01.2018;2018;1;2;Вторник;2;Рабочий
10.01.2018;2018;1;3;Среда;2;Рабочий
11.01.2018;2018;1;4;Четверг;2;Рабочий
12.01.2018;2018;1;5;Пятница;2;Пятница
13.01.2018;2018;1;6;Суббота;2;Выходной_С
14.01.2018;2018;1;7;Воскресенье;2;Выходной_В
15.01.2018;2018;1;1;Понедельник;3;Рабочий
16.01.2018;2018;1;2;Вторник;3;Рабочий
17.01.2018;2018;1;3;Среда;3;Рабочий
18.01.2018;2018;1;4;Четверг;3;Рабочий
19.01.2018;2018;1;5;Пятница;3;Пятница
20.01.2018;2018;1;6;Суббота;3;Выходной_С
21.01.2018;2018;1;7;Воскресенье;3;Выходной_В
22.01.2018;2018;1;1;Понедельник;4;Рабочий
23.01.2018;2018;1;2;Вторник;4;Рабочий
24.01.2018;2018;1;3;Среда;4;Рабочий
25.01.2018;2018;1;4;Четверг;4;Рабочий
26.01.2018;2018;1;5;Пятница;4;Пятница
27.01.2018;2018;1;6;Суббота;4;Выходной_С
28.01.2018;2018;1;7;Воскресенье;4;Выходной_В
29.01.2018;2018;1;1;Понедельник;5;Рабочий
30.01.2018;2018;1;2;Вторник;5;Рабочий
31.01.2018;2018;1;3;Среда;5;Рабочий
01.02.2018;2018;2;4;Четверг;5;Рабочий
02.02.2018;2018;2;5;Пятница;5;Пятница
03.02.2018;2018;2;6;Суббота;5;Выходной_С
04.02.2018;2018;2;7;Воскресенье;5;Выходной_В
05.02.2018;2018;2;1;Понедельник;6;Рабочий
06.02.2018;2018;2;2;Вторник;6;Рабочий
07.02.2018;2018;2;3;Среда;6;Рабочий
08.02.2018;2018;2;4;Четверг;6;Рабочий
09.02.2018;2018;2;5;Пятница;6;Пятница
10.02.2018;2018;2;6;Суббота;6;Выходной_С
11.02.2018;2018;2;7;Воскресенье;6;Выходной_В
12.02.2018;2018;2;1;Понедельник;7;Рабочий
13.02.2018;2018;2;2;Вторник;7;Рабочий
14.02.2018;2018;2;3;Среда;7;Рабочий
15.02.2018;2018;2;4;Четверг;7;Рабочий
16.02.2018;2018;2;5;Пятница;7;Пятница
17.02.2018;2018;2;6;Суббота;7;Выходной_С
18.02.2018;2018;2;7;Воскресенье;7;Выходной_В
19.02.2018;2018;2;1;Понедельник;8;Рабочий
20.02.2018;2018;2;2;Вторник;8;Рабочий
21.02.2018;2018;2;3;Среда;8;Рабочий
22.02.2018;2018;2;4;Четверг;8;Пятница
23.02.2018;2018;2;5;Пятница;8;Выходной_С
24.02.2018;2018;2;6;Суббота;8;Выходной_С
25.02.2018;2018;2;7;Воскресенье;8;Выходной_В
26.02.2018;2018;2;1;Понедельник;9;Рабочий
27.02.2018;2018;2;2;Вторник;9;Рабочий
28.02.2018;2018;2;3;Среда;9;Рабочий
01.03.2018;2018;3;4;Четверг;9;Рабочий
02.03.2018;2018;3;5;Пятница;9;Пятница
03.03.2018;2018;3;6;Суббота;9;Выходной_С
04.03.2018;2018;3;7;Воскресенье;9;Выходной_В
05.03.2018;2018;3;1;Понедельник;10;Рабочий
06.03.2018;2018;3;2;Вторник;10;Рабочий
07.03.2018;2018;3;3;Среда;10;Пятница
08.03.2018;2018;3;4;Четверг;10;Выходной_С
09.03.2018;2018;3;5;Пятница;10;Выходной_С
10.03.2018;2018;3;6;Суббота;10;Выходной_С
11.03.2018;2018;3;7;Воскресенье;10;Выходной_В
12.03.2018;2018;3;1;Понедельник;11;Рабочий
13.03.2018;2018;3;2;Вторник;11;Рабочий
14.03.2018;2018;3;3;Среда;11;Рабочий
15.03.2018;2018;3;4;Четверг;11;Рабочий
16.03.2018;2018;3;5;Пятница;11;Пятница
17.03.2018;2018;3;6;Суббота;11;Выходной_С
18.03.2018;2018;3;7;Воскресенье;11;Выходной_В
19.03.2018;2018;3;1;Понедельник;12;Рабочий
20.03.2018;2018;3;2;Вторник;12;Рабочий
21.03.2018;2018;3;3;Среда;12;Рабочий
22.03.2018;2018;3;4;Четверг;12;Рабочий
23.03.2018;2018;3;5;Пятница;12;Пятница
24.03.2018;2018;3;6;Суббота;12;Выходной_С
25.03.2018;2018;3;7;Воскресенье;12;Выходной_В
26.03.2018;2018;3;1;Понедельник;13;Рабочий
27.03.2018;2018;3;2;Вторник;13;Рабочий
28.03.2018;2018;3;3;Среда;13;Рабочий
29.03.2018;2018;3;4;Четверг;13;Рабочий
30.03.2018;2018;3;5;Пятница;13;Пятница
31.03.2018;2018;3;6;Суббота;13;Выходной_С
01.04.2018;2018;4;7;Воскресенье;13;Выходной_В
02.04.2018;2018;4;1;Понедельник;14;Рабочий
03.04.2018;2018;4;2;Вторник;14;Рабочий
04.04.2018;2018;4;3;Среда;14;Рабочий
05.04.2018;2018;4;4;Четверг;14;Рабочий
06.04.2018;2018;4;5;Пятница;14;Пятница
07.04.2018;2018;4;6;Суббота;14;Выходной_С
08.04.2018;2018;4;7;Воскресенье;14;Выходной_В
09.04.2018;2018;4;1;Понедельник;15;Рабочий
10.04.2018;2018;4;2;Вторник;15;Рабочий
11.04.2018;2018;4;3;Среда;15;Рабочий
